"type","status","collection_id","error"
"Architecture","created","514450915640",""
"Art","created","514450948408",""
"ART","created","514451013944",""
"Bags","created","514451046712",""
"Bluey","created","514451112248",""
"Botanicals","created","514451145016",""
"Chinese Festivals","created","514451210552",""
"City","created","514451243320",""
"City Big Vehicles","created","514451276088",""
"City Exploration","created","514451308856",""
"City Police","created","514451341624",""
"City Trains","created","514451374392",""
"Classic","created","514451407160",""
"Creator 3 in 1","created","514451439928",""
"Disney Classic","created","514451472696",""
"Disney Junior","created","514451505464",""
"Disney Pixar","created","514451538232",""
"Disney Princess","created","514451571000",""
"Duplo","created","514451603768",""
"DUPLO","created","514451636536",""
"DUPLO Bluey","created","514451669304",""
"DUPLO Disney TM","created","514451702072",""
"DUPLO My First","created","514451734840",""
"DUPLO Peppa Pig","created","514451767608",""
"DUPLO Town","created","514451800376",""
"Editions Sports","created","514451833144",""
"Editions Vehicles","created","514451865912",""
"Fortnite","created","514451898680",""
"Friends","created","514451931448",""
"Gabby's Dollhouse","created","514451964216",""
"Harry Potter","created","514451996984",""
"Iconic","created","514452029752",""
"Icons","created","514452062520",""
"Ideas","created","514452095288",""
"Jurassic World","created","514452128056",""
"LEL Seasons and Occasions","created","514452160824",""
"Minecraft","created","514452193592",""
"Minifigures","created","514452226360",""
"Ninjago","created","514452259128",""
"One piece","created","514452291896",""
"Seasons and Occasions","created","514452324664",""
"Shrek","created","514452357432",""
"Sonic","created","514452390200",""
"Speed Champions","created","514452422968",""
"Spidey","created","514452455736",""
"Starwars","created","514452488504",""
"Super Heroes","created","514452521272",""
"Super Mario","created","514452554040",""
"Technic","created","514452586808",""
"Wicked","created","514452619576",""
