Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Grams,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Age,Pieces,Rating,Rating Count
lego-77243-lego-speed-champions-77243-oracle-red-bull-racing-rb20-f1-race-car-age-18-building-blocks-2025-251pcs,"LEGO Speed Champions 77243 Oracle Red Bull Racing RB20 F1 Race Car, Age 18+, Building Blocks, 2025 (251pcs)","F1® Red Bull vehicle for adults – LEGO® Speed Champions Oracle Red Bull Racing RB20 F1 Race Car buildable model for Red Bull and Formula 1® fans Explore authentic F1® Red Bull details – This F1 race car features design details from the real-life 2024 version, including a rear wing, halo bar and wider rear tires imprinted with “Pirelli” F1® minifigure – The vehicle kit includes an F1 driver minifigure wearing a Red Bull outfit and a winged helmet to place inside the F1 race car’s cockpit F1® fun for all the family – Race for the checkered flag alongside the whole family with other building sets (sold separately) in the LEGO® F1 range F1® race car display model – After you’ve enjoyed a rewarding building experience, this Red Bull F1 car can be proudly displayed at home or in the office Formula 1® gift – This premium F1® merchandise is a great LEGO® gift idea for adult builders and fans of the Red Bull F1 racing team who want to enjoy an immersive and rewarding project F1® race car display model – After you’ve enjoyed a rewarding building experience, this Red Bull F1 car can be proudly displayed at home or in the office Formula 1® gift – This premium F1® merchandise is a great LEGO® gift idea for adult builders and fans of the Red Bull F1 racing team who want to enjoy an immersive and rewarding project Build and display iconic vehicles – LEGO® Speed Champions sets let car lovers create brick-built versions of some of the world’s most famous vehicles Measurements – A 251-piece car playset featuring a Red Bull Formula 1® car model that measures over 1.5 in. (4 cm) high, 8 in. (20 cm) long and 3 in. (7 cm) wide",LEGO,Speed Champions,"New, Speed Champions, Building Toys, Ages 18+, Speed Champions, Outgoing",TRUE,Title,Default Title,77243,5702017816104,shopify,0,deny,manual,274,1999.00,,TRUE,TRUE,https://sg-test-11.slatic.net/p/c9f5fcac0dcaeff4d0e11883dc98e460.jpg,1,"LEGO Speed Champions 77243 Oracle Red Bull Racing RB20 F1 Race Car, Age 18+, Building Blocks, 2025 (251pcs)",active,18+,251,,
lego-77243-lego-speed-champions-77243-oracle-red-bull-racing-rb20-f1-race-car-age-18-building-blocks-2025-251pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/3ca17b35a1b4de0ba885ecf466caa225.jpg,2,"LEGO Speed Champions 77243 Oracle Red Bull Racing RB20 F1 Race Car, Age 18+, Building Blocks, 2025 (251pcs)",,,,,
lego-77243-lego-speed-champions-77243-oracle-red-bull-racing-rb20-f1-race-car-age-18-building-blocks-2025-251pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/30477208bc0093861f2269dc5665c473.jpg,3,"LEGO Speed Champions 77243 Oracle Red Bull Racing RB20 F1 Race Car, Age 18+, Building Blocks, 2025 (251pcs)",,,,,
lego-77243-lego-speed-champions-77243-oracle-red-bull-racing-rb20-f1-race-car-age-18-building-blocks-2025-251pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/0a7302a8307789354adc921adc480da0.jpg,4,"LEGO Speed Champions 77243 Oracle Red Bull Racing RB20 F1 Race Car, Age 18+, Building Blocks, 2025 (251pcs)",,,,,
lego-77243-lego-speed-champions-77243-oracle-red-bull-racing-rb20-f1-race-car-age-18-building-blocks-2025-251pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/605894ad3484cb165561293817a5e139.jpg,5,"LEGO Speed Champions 77243 Oracle Red Bull Racing RB20 F1 Race Car, Age 18+, Building Blocks, 2025 (251pcs)",,,,,
lego-77243-lego-speed-champions-77243-oracle-red-bull-racing-rb20-f1-race-car-age-18-building-blocks-2025-251pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/8246ceaa82c09b2b2f7fff9e81045fe8.jpg,6,"LEGO Speed Champions 77243 Oracle Red Bull Racing RB20 F1 Race Car, Age 18+, Building Blocks, 2025 (251pcs)",,,,,
lego-77243-lego-speed-champions-77243-oracle-red-bull-racing-rb20-f1-race-car-age-18-building-blocks-2025-251pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/8f190d1fcb61fcfd96d641c1759e5816.jpg,7,"LEGO Speed Champions 77243 Oracle Red Bull Racing RB20 F1 Race Car, Age 18+, Building Blocks, 2025 (251pcs)",,,,,
lego-77243-lego-speed-champions-77243-oracle-red-bull-racing-rb20-f1-race-car-age-18-building-blocks-2025-251pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/2dfedced92085b456ef167ca6bb8803c.jpg,8,"LEGO Speed Champions 77243 Oracle Red Bull Racing RB20 F1 Race Car, Age 18+, Building Blocks, 2025 (251pcs)",,,,,
lego-10328-lego-icons-10328-bouquet-of-roses-age-18-building-blocks-2023-822pcs,"LEGO Icons 10328 Bouquet of Roses, Age 18+, Building Blocks, 2023 (822pcs)","• Buildable home decor bouquet – Indulge yourself or join friends and family for a mindful project with the LEGO® Icons Bouquet of Roses building set for adults
• What’s in the box – This creative building set includes everything you need to craft a dozen red roses with long green stems, plus 4 sprigs of baby’s breath with small white flowers
• Blooming buds – The LEGO® Icons Bouquet of Roses building kit depicts roses captured at various stages of flowering, including 4 roses in full bloom, 4 blossoming and 4 in bud
• A faux flower display – Add a splash of color to your home or office with this zero-maintenance bouquet of roses
• Valentine’s Day gift idea – Celebrate a birthday or any special occasion, or surprise a loved one with a gift designed for adult fans of LEGO® building sets, home decor and flowers
• Build solo or with friends and family – This LEGO® Icons set comes with 6 brick bags and separate instructions for the 3 stages of flowering so it can be built as a solo or group project
• Part of the LEGO® Botanical Collection – Discover a space for relaxation with the wide range of LEGO construction sets designed specifically for adults
• Dimensions – The tallest rose in this 822-piece building set measures over 12 in. (31 cm) long",LEGO,Icons,"New, Icons, Building Toys, Ages 18+, Icons, Carry Over",TRUE,Title,Default Title,10328,5702017583488,shopify,0,deny,manual,739,4499.00,,TRUE,TRUE,https://ph-live.slatic.net/p/e0ffe807957de9e81371713ec07bb877.jpg,1,"LEGO Icons 10328 Bouquet of Roses, Age 18+, Building Blocks, 2023 (822pcs)",active,18+,822,,
lego-10328-lego-icons-10328-bouquet-of-roses-age-18-building-blocks-2023-822pcs,,,,,,,,,,,,,,,,,,,,https://sg-test-11.slatic.net/p/0fbdd209110a4e01194bb661841f01d0.jpg,2,"LEGO Icons 10328 Bouquet of Roses, Age 18+, Building Blocks, 2023 (822pcs)",,,,,
