"handle","status"
"lego-77243-lego-speed-champions-77243-oracle-red-bull-racing-rb20-f1-race-car-age-18-building-blocks-2025-251pcs","missing"
"lego-10328-lego-icons-10328-bouquet-of-roses-age-18-building-blocks-2023-822pcs","missing"
"lego-77242-lego-speed-champions-77242-ferrari-sf-24-f1-race-car-age-10-building-blocks-2025-275pcs","missing"
"lego-77255-lego-speed-champions-77255-lightning-mcqueen-270-pieces-building-blocks","missing"
"lego-77244-lego-speed-champions-77244-mercedes-amg-f1-w15-race-car-age-10-building-blocks-2025-267pcs","missing"
"lego-77256-lego-speed-champions-77256-time-machine-from-back-to-the-future-357-pieces-building-blocks","missing"
"lego-77241-lego-speed-champions-77241-2-fast-2-furious-honda-s2000-age-9-building-blocks-2025-300pcs","missing"
"lego-77252-lego-speed-champions-77252-apxgp-team-race-car-from-f1-the-movie-268-pieces-building-blocks","missing"
"lego-76917-lego-speed-champions-76917-2-fast-2-furious-nissan-skyline-gt-r-r34-age-9-building-blocks-2023-319pcs","missing"
"lego-11508-lego-botanicals-11508-daisies-133-pieces-building-blocks","missing"
"lego-77251-lego-speed-champions-77251-mclaren-f1-team-mcl38-race-car-age-10-building-blocks-2025-269pcs","live"
"lego-10374-lego-botanicals-10374-bouquet-of-pink-roses-age-18-building-blocks-2025-789pcs","live"
"lego-10342-lego-botanicals-10342-pretty-pink-flower-bouquet-age-18-building-blocks-2025-749pcs","live"
"lego-77254-lego-speed-champions-77254-ferrari-sf90-xx-stradale-sports-car-339-pieces-building-blocks","live"
"lego-71851-lego-ninjago-71851-kai-s-dragon-mech-battle-pack-85-pieces-building-blocks","live"
"lego-10349-lego-botanicals-10349-happy-plants-age-9-building-blocks-2025-217pcs","live"
"lego-77249-lego-speed-champions-77249-williams-racing-fw46-f1-race-car-age-10-building-blocks-2025-263pcs","live"
"lego-11506-lego-botanicals-11506-rocking-plants-253-pieces-building-blocks","live"
"lego-71838-lego-ninjago-71838-kai-s-motorcycle-speed-race-age-6-building-blocks-2025-79pcs","live"
